PIN,FUNCTION,SCHEMATIC_CONNECTION,PCB_CONNECTION,STATUS,FINAL_PCB_STATUS
65,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
66,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
67,GPS,GPS -> C27/L4 bias-T -> J5 U.FL / J6 SWF,See PCB net GPS,RF,U1 pad netted GPS
68,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
69,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
70,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
71,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
72,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
73,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
74,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
75,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
76,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
77,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
78,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
79,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
80,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
81,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
82,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
83,P0.26,J13,See PCB net P0.26,EXTERNAL HEADER,U1 pad netted P0.26
84,P0.27,J13,See PCB net P0.27,EXTERNAL HEADER,OPEN airwire net=P0.27
85,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
86,P0.28,J13,See PCB net P0.28,EXTERNAL HEADER,U1 pad netted P0.28
87,P0.29,J13,See PCB net P0.29,EXTERNAL HEADER,OPEN airwire net=P0.29
88,P0.30,J13 / I2C SDA J11,See PCB net P0.30,EXTERNAL HEADER,U1 pad netted P0.30
89,P0.31,J13 / I2C SCL J11,See PCB net P0.31,EXTERNAL HEADER,OPEN airwire net=P0.31
90,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
91,COEX2,J15,See PCB net COEX2,EXTERNAL HEADER,U1 pad netted COEX2
92,COEX1,J15,See PCB net COEX1,EXTERNAL HEADER,OPEN airwire net=COEX1
93,COEX0,J15 + R4 GNSS_LNA_EN,See PCB net COEX0,USED,U1 pad netted COEX0
94,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
95,P0.00,J12 + LED D4 STATUS,See PCB net P0.00,USED,U1 pad netted P0.00
96,P0.01,J12 + LED D5 LTE,See PCB net P0.01,USED,OPEN airwire net=P0.01
97,P0.02,J12 + LED D6 GNSS,See PCB net P0.02,USED,U1 pad netted P0.02
98,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
99,P0.03,J12 + LED D7 SPARE (fit optional),See PCB net P0.03,EXTERNAL HEADER,OPEN airwire net=P0.03
100,P0.04,J12 / UART CTS J9,See PCB net P0.04,EXTERNAL HEADER,OPEN airwire net=P0.04
101,ENABLE,"R1 10k from VDD1, SW1 DISABLE, C14",See PCB net ENABLE,USED,U1 pad netted ENABLE
102,VDD1,VDD1 via FB1 + C3/C4/C5/C6,See PCB net VDD1,USED,U1 pad netted VDD1
103,GND,GND,LGA GND pads + L2 plane,GND,U1 pad netted GND
104,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
105,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
106,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
107,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
108,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
109,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
110,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
111,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
112,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
113,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
114,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
115,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
116,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
117,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
118,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
119,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
120,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
121,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
122,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
123,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
124,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
125,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
126,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
127,RES,"NC (soldered mechanically, electrically open)","LGA pad present, no net",RESERVED,UN-NETTED (RES/NC)
