Net,Source,Destination,Current layer,Current copper,Problem,Proposed solution,Status
P0.26,"Track [P0.26] on F.Cu, length 3.8500 mm",PTH pad 11 [P0.26] of J13,F.Cu+B.Cu,"(33.750,37.250)-(89.400,76.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
SIM_RST,Pad 43 [SIM_RST] of U1 on F.Cu,"Track [SIM_RST] on B.Cu, length 4.2000 mm",F.Cu+B.Cu,"(32.750,26.750)-(71.680,48.000)",U1 pad island not joined to header/existing copper,U1→U4→connector; keep *_C distinct,genuine|class A|prio SIM|OPEN
MIPI_SCLK,PTH pad 5 [MIPI_SCLK] of J14,"Track [MIPI_SCLK] on F.Cu, length 1.1000 mm",F.Cu+B.Cu,"(104.000,53.080)-(28.000,30.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
P0.05,Pad 2 [P0.05] of U1 on F.Cu,PTH pad 6 [P0.05] of J12,F.Cu+B.Cu,"(44.000,36.500)-(18.700,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.05,"Track [P0.05] on F.Cu, length 3.4000 mm",PTH pad 3 [P0.05] of J9,F.Cu+B.Cu,"(44.000,36.500)-(116.000,13.080)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
VDD_GPIO,Pad 12 [VDD_GPIO] of U1 on F.Cu,"Track [VDD_GPIO] on F.Cu, length 0.6500 mm",F.Cu,"(44.000,31.500)-(39.520,19.126)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio U1 power|OPEN
VDD_GPIO,Pad 12 [VDD_GPIO] of U1 on F.Cu,Pad 1 [VDD_GPIO] of FB5 on F.Cu,F.Cu,"(44.000,31.500)-(14.000,46.788)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio U1 power|OPEN
VDD_GPIO,"Track [VDD_GPIO] on B.Cu, length 21.9500 mm","Track [VDD_GPIO] on F.Cu, length 2.8625 mm",F.Cu+B.Cu,"(70.000,14.800)-(78.000,32.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio U1 power|OPEN
VDD_GPIO,"Track [VDD_GPIO] on F.Cu, length 7.0500 mm","Track [VDD_GPIO] on F.Cu, length 16.7194 mm",F.Cu,"(75.138,32.000)-(58.320,62.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio U1 power|OPEN
VDD_GPIO,"Track [VDD_GPIO] on B.Cu, length 2.6000 mm","Track [VDD_GPIO] on F.Cu, length 8.0000 mm",F.Cu+B.Cu,"(108.000,31.080)-(116.000,18.160)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio U1 power|OPEN
P0.09,Pad 16 [P0.09] of U1 on F.Cu,PTH pad 10 [P0.09] of J12,F.Cu+B.Cu,"(44.000,29.500)-(28.860,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.09,PTH pad 4 [P0.09] of J16,Pad 16 [P0.09] of U1 on F.Cu,F.Cu+B.Cu,"(108.000,15.620)-(44.000,29.500)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.27,Pad 84 [P0.27] of U1 on F.Cu,PTH pad 12 [P0.27] of J13,F.Cu+B.Cu,"(34.250,37.250)-(91.940,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.19,Pad 30 [P0.19] of U1 on F.Cu,PTH pad 7 [P0.19] of J18,F.Cu+B.Cu,"(39.250,26.750)-(53.240,62.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.19,PTH pad 7 [P0.19] of J18,PTH pad 4 [P0.19] of J13,F.Cu+B.Cu,"(53.240,62.000)-(71.620,76.000)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
P0.03,"Track [P0.03] on F.Cu, length 37.1500 mm","Track [P0.03] on F.Cu, length 1.1258 mm",F.Cu,"(41.750,74.400)-(97.490,18.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.07,Pad 4 [P0.07] of U1 on F.Cu,PTH pad 8 [P0.07] of J12,F.Cu+B.Cu,"(44.000,35.500)-(23.780,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.07,"Track [P0.07] on F.Cu, length 3.4000 mm",PTH pad 2 [P0.07] of J9,F.Cu+B.Cu,"(44.000,35.500)-(116.000,10.540)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.01,Pad 96 [P0.01] of U1 on F.Cu,"Track [P0.01] on B.Cu, length 58.4900 mm",F.Cu+B.Cu,"(40.250,37.250)-(86.140,15.200)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
COEX0,"Track [COEX0] on F.Cu, length 3.8500 mm","Track [COEX0] on F.Cu, length 1.3000 mm",F.Cu,"(38.750,37.250)-(29.810,22.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
P0.30,"Track [P0.30] on F.Cu, length 3.8500 mm",PTH pad 15 [P0.30] of J13,F.Cu+B.Cu,"(36.250,37.250)-(99.560,76.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.30,PTH pad 15 [P0.30] of J13,PTH pad 1 [P0.30] of J11,F.Cu+B.Cu,"(99.560,76.000)-(116.000,46.000)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
VIN_FILT,Via [VIN_FILT] on F.Cu - B.Cu,"Track [VIN_FILT] on F.Cu, length 1.3000 mm",F.Cu+B.Cu,"(55.350,13.300)-(53.200,21.900)",F.Cu power/control island gap,complete J1→protection→fuse→ferrite F.Cu path,routing gap|class F|prio U1 power|OPEN
MAGPIO2,"Track [MAGPIO2] on F.Cu, length 1.2500 mm",PTH pad 3 [MAGPIO2] of J14,F.Cu+B.Cu,"(28.000,27.500)-(104.000,50.540)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
P0.13,"Track [P0.13] on F.Cu, length 3.6500 mm","Track [P0.13] on B.Cu, length 16.1500 mm",F.Cu+B.Cu,"(42.750,26.750)-(38.000,78.150)",routing gap between copper islands,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.18,"Track [P0.18] on B.Cu, length 10.8000 mm",Pad 29 [P0.18] of U1 on F.Cu,F.Cu+B.Cu,"(50.700,72.800)-(39.750,26.750)",U1 pad island not joined to header/existing copper,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.18,"Track [P0.18] on B.Cu, length 3.2000 mm",PTH pad 2 [P0.18] of J17,F.Cu+B.Cu,"(69.080,76.000)-(108.000,28.540)",routing gap between copper islands,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
AUX,Pad 1 [AUX] of L2 on F.Cu,Pad 1 [AUX] of C23 on F.Cu,F.Cu,"(20.485,33.000)-(19.520,48.000)",DNP 50Ω shunt stub not tied to existing same-net trunk,optional stub to existing same-net copper; do not rewrite 50Ω trunks,DNP|class C|prio DNP|OPEN
P0.25,Pad 42 [P0.25] of U1 on F.Cu,PTH pad 10 [P0.25] of J13,F.Cu+B.Cu,"(33.250,26.750)-(86.860,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.02,"Track [P0.02] on F.Cu, length 3.8500 mm","Track [P0.02] on F.Cu, length 0.6500 mm",F.Cu,"(40.750,37.250)-(91.490,19.126)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
SIM_1V8,"Track [SIM_1V8] on F.Cu, length 2.7000 mm",Pad 49 [SIM_1V8] of U1 on F.Cu,F.Cu,"(75.600,44.100)-(29.750,26.750)",U1 pad island not joined to header/existing copper,U1→U4→connector; keep *_C distinct,genuine|class A|prio SIM|OPEN
SIM_IO,"Track [SIM_IO] on F.Cu, length 3.6500 mm","Track [SIM_IO] on F.Cu, length 4.6000 mm",F.Cu,"(30.250,26.750)-(75.680,52.000)",F.Cu power/control island gap,U1→U4→connector; keep *_C distinct,routing gap|class F|prio SIM|OPEN
SIM_CLK,"Track [SIM_CLK] on F.Cu, length 3.6500 mm","Track [SIM_CLK] on B.Cu, length 8.9000 mm",F.Cu+B.Cu,"(31.250,26.750)-(68.140,45.500)",F.Cu power/control island gap,U1→U4→connector; keep *_C distinct,routing gap|class F|prio SIM|OPEN
nRESET,"Track [nRESET] on B.Cu, length 32.8000 mm","Track [nRESET] on F.Cu, length 1.4300 mm",F.Cu+B.Cu,"(101.680,58.800)-(52.220,10.800)",F.Cu power/control island gap,short U1→R5→C39→button/debug→J8; join F/B islands,routing gap|class F|prio U1 control|OPEN
P0.00,"Track [P0.00] on F.Cu, length 0.6500 mm","Track [P0.00] on F.Cu, length 3.8500 mm",F.Cu,"(79.490,19.126)-(39.750,37.250)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
MAGPIO0,Pad 55 [MAGPIO0] of U1 on F.Cu,PTH pad 1 [MAGPIO0] of J14,F.Cu+B.Cu,"(28.000,28.500)-(104.000,48.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
COEX1,Pad 92 [COEX1] of U1 on F.Cu,PTH pad 2 [COEX1] of J15,F.Cu+B.Cu,"(38.250,37.250)-(104.000,63.270)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
P0.08,"Track [P0.08] on F.Cu, length 2.2000 mm",PTH pad 9 [P0.08] of J12,F.Cu+B.Cu,"(44.000,30.000)-(26.320,76.000)",F.Cu power/control island gap,legal escape + private layer hop; not the 0.95 mm ring,routing gap|class F|prio GPIO|OPEN
P0.08,"Track [P0.08] on F.Cu, length 7.1150 mm","Track [P0.08] on F.Cu, length 2.2000 mm",F.Cu,"(78.375,26.000)-(44.000,30.000)",F.Cu power/control island gap,legal escape + private layer hop; not the 0.95 mm ring,routing gap|class F|prio GPIO|OPEN
P0.24,Pad 40 [P0.24] of U1 on F.Cu,PTH pad 9 [P0.24] of J13,F.Cu+B.Cu,"(34.250,26.750)-(84.320,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.24,PTH pad 9 [P0.24] of J13,PTH pad 4 [P0.24] of J10,F.Cu+B.Cu,"(84.320,76.000)-(116.000,35.620)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
P0.29,Pad 87 [P0.29] of U1 on F.Cu,PTH pad 14 [P0.29] of J13,F.Cu+B.Cu,"(35.750,37.250)-(97.020,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
ANT_FIT,Pad 1 [ANT_FIT] of C22 on F.Cu,"Track [ANT_FIT] on F.Cu, length 10.3216 mm",F.Cu,"(19.520,36.000)-(21.515,32.000)",DNP 50Ω shunt stub not tied to existing same-net trunk,optional stub to existing same-net copper; do not rewrite 50Ω trunks,DNP|class C|prio DNP|OPEN
P0.12,"Track [P0.12] on F.Cu, length 3.4000 mm",PTH pad 13 [P0.12] of J12,F.Cu+B.Cu,"(44.000,27.500)-(36.480,76.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.12,Via [P0.12] on F.Cu - B.Cu,PTH pad 3 [P0.12] of J16,F.Cu+B.Cu,"(47.400,27.500)-(108.000,13.080)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
SWDCLK,"Track [SWDCLK] on F.Cu, length 1.7000 mm",Pad 33 [SWDCLK] of U1 on F.Cu,F.Cu,"(51.950,4.730)-(37.750,26.750)",F.Cu power/control island gap,legal escape + private layer hop; not the 0.95 mm ring,routing gap|class F|prio SWD|OPEN
P0.20,"Track [P0.20] on F.Cu, length 18.3800 mm","Track [P0.20] on F.Cu, length 5.9754 mm",F.Cu,"(55.780,60.900)-(36.750,26.750)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.28,"Track [P0.28] on F.Cu, length 3.8500 mm",PTH pad 13 [P0.28] of J13,F.Cu+B.Cu,"(35.250,37.250)-(94.480,76.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.21,Pad 37 [P0.21] of U1 on F.Cu,PTH pad 6 [P0.21] of J13,F.Cu+B.Cu,"(35.750,26.750)-(76.700,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.21,PTH pad 6 [P0.21] of J13,PTH pad 1 [P0.21] of J10,F.Cu+B.Cu,"(76.700,76.000)-(116.000,28.000)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
MIPI_SDATA,Pad 59 [MIPI_SDATA] of U1 on F.Cu,PTH pad 6 [MIPI_SDATA] of J14,F.Cu+B.Cu,"(28.000,30.500)-(104.000,54.350)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio MAGPIO/MIPI/COEX|OPEN
P0.11,Pad 19 [P0.11] of U1 on F.Cu,PTH pad 12 [P0.11] of J12,F.Cu+B.Cu,"(44.000,28.000)-(33.940,76.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.11,"Track [P0.11] on F.Cu, length 1.3000 mm",Pad 19 [P0.11] of U1 on F.Cu,F.Cu,"(48.620,28.000)-(44.000,28.000)",U1 pad island not joined to header/existing copper,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.11,PTH pad 2 [P0.11] of J16,"Track [P0.11] on F.Cu, length 1.3000 mm",F.Cu+B.Cu,"(108.000,10.540)-(48.620,28.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.14,Pad 24 [P0.14] of U1 on F.Cu,"Track [P0.14] on B.Cu, length 16.1500 mm",F.Cu+B.Cu,"(42.250,26.750)-(40.540,78.150)",U1 pad island not joined to header/existing copper,private B.Cu channel after P0.15 west wrap is removed,genuine|class A|prio GPIO|OPEN
P0.23,"Track [P0.23] on F.Cu, length 3.6500 mm",PTH pad 8 [P0.23] of J13,F.Cu+B.Cu,"(34.750,26.750)-(81.780,76.000)",routing gap between copper islands,legal escape + private layer hop; not the 0.95 mm ring,genuine|class A|prio GPIO|OPEN
P0.23,PTH pad 8 [P0.23] of J13,PTH pad 3 [P0.23] of J10,F.Cu+B.Cu,"(81.780,76.000)-(116.000,33.080)",duplicate expansion-header branch (same net on two headers),B.Cu/F.Cu private header-to-header hop or accept after GPIO spine exists,duplicate header|class G|prio header duplicates|OPEN
VIN_F,"Track [VIN_F] on F.Cu, length 1.3000 mm","Track [VIN_F] on F.Cu, length 1.6750 mm",F.Cu,"(48.000,12.600)-(71.200,19.060)",F.Cu power/control island gap,complete J1→protection→fuse→ferrite F.Cu path,routing gap|class F|prio U1 power|OPEN
